TimeStamp,X,Y,Z,TEMP,S1,S2,S3,S4,cS1,cS2,cS3,cS4
9:37:25.122,5,20,1009,27799,24742,26153,24416,23797,30144,30214,30169,30257
9:37:25.122,4,20,1009,27799,24741,26154,24416,23797,30143,30215,30169,30257
9:37:25.122,3,19,1009,27799,24741,26154,24416,23796,30143,30215,30169,30256
9:37:25.122,3,19,1009,27799,24741,26154,24416,23796,30143,30215,30169,30256
9:37:25.122,4,19,1009,27799,24741,26154,24416,23796,30143,30215,30169,30256
9:37:25.122,3,20,1009,27799,24741,26154,24416,23797,30143,30214,30169,30257
9:37:25.122,4,20,1009,27799,24741,26153,24416,23797,30143,30214,30169,30257
9:37:25.122,5,20,1008,27799,24741,26153,24415,23797,30143,30214,30168,30257
9:37:25.122,5,20,1008,27799,24741,26153,24415,23796,30143,30214,30168,30256
9:37:25.122,5,19,1009,27799,24741,26154,24415,23796,30143,30215,30168,30256
9:37:25.122,5,19,1008,27799,24742,26154,24415,23796,30144,30214,30168,30256
9:37:25.122,5,20,1008,27799,24741,26153,24415,23796,30143,30214,30168,30256
9:37:25.122,4,20,1008,27799,24741,26153,24416,23796,30143,30214,30168,30256
9:37:25.122,5,20,1009,27799,24741,26153,24415,23797,30143,30214,30168,30257
9:37:25.127,5,20,1009,27799,24741,26153,24415,23797,30143,30214,30168,30257
9:37:25.127,5,20,1008,27799,24741,26153,24415,23797,30143,30214,30168,30257
9:37:25.127,4,20,1008,27799,24741,26153,24415,23796,30143,30214,30168,30256
9:37:25.127,5,20,1008,27799,24742,26153,24415,23796,30144,30214,30168,30256
9:37:25.127,5,19,1008,27799,24741,26154,24415,23796,30143,30215,30168,30256
9:37:25.127,5,19,1008,0,0,0,0,0,0,0,0,0
9:37:25.127,4,19,1009,27799,24741,26154,24416,23796,30143,30215,30168,30256
9:37:25.127,4,19,1009,27799,24741,26154,24415,23796,30143,30215,30168,30256
9:37:25.127,4,19,1009,27799,24741,26154,24416,23796,30143,30215,30168,30256
9:37:25.127,4,20,1008,27799,24740,26153,24416,23796,30142,30214,30168,30256
9:37:25.127,4,20,1009,27799,24741,26153,24416,23797,30143,30214,30168,30257
9:37:25.127,4,19,1009,27799,24742,26154,24416,23796,30144,30215,30169,30256
9:37:25.127,5,20,1009,27799,24742,26153,24416,23797,30144,30214,30169,30257
9:37:25.127,5,20,1009,27799,24742,26154,24416,23797,30144,30215,30169,30257
9:37:25.127,4,20,1009,27799,24742,26153,24416,23797,30144,30214,30169,30257
9:37:25.127,5,20,1009,27799,24742,26153,24416,23797,30144,30214,30169,30257
9:37:25.127,5,20,1009,27799,24741,26153,24415,23797,30143,30214,30168,30257
9:37:25.127,6,20,1009,27799,24742,26154,24415,23796,30144,30214,30168,30256
9:37:25.127,6,20,1008,27799,24742,26153,24414,23796,30144,30214,30167,30256
9:37:25.127,6,20,1009,27799,24743,26153,24415,23796,30145,30214,30168,30256
9:37:25.127,6,19,1009,27799,24743,26153,24415,23796,30145,30214,30168,30256
9:37:25.127,6,20,1009,27799,24742,26153,24415,23796,30144,30214,30168,30256
