TimeStamp,X,Y,Z,TEMP,S1,S2,S3,S4,cS1,cS2,cS3,cS4
7:4:21.833,-6,13,1020,27817,24769,26185,24452,23819,30152,30226,30187,30261
7:4:21.833,-6,13,1020,27817,24769,26185,24452,23819,30152,30226,30188,30261
7:4:21.833,-6,13,1020,27817,24769,26185,24452,23820,30152,30226,30188,30261
7:4:21.833,-6,13,1020,27817,24769,26185,24452,23820,30153,30226,30188,30261
7:4:21.834,-5,13,1020,27817,24770,26185,24452,23820,30153,30226,30188,30261
7:4:21.834,-4,12,1021,27817,24771,26186,24452,23820,30154,30227,30188,30262
7:4:21.834,-4,12,1020,27817,24771,26186,24452,23820,30154,30227,30187,30262
7:4:21.834,-4,12,1021,27817,24771,26186,24452,23820,30155,30227,30188,30262
7:4:21.834,-3,12,1021,27817,24771,26186,24451,23820,30154,30227,30187,30262
7:4:21.834,-3,13,1021,27817,24771,26186,24452,23820,30155,30227,30188,30262
7:4:21.834,-3,12,1021,27817,24771,26185,24452,23820,30155,30227,30188,30262
7:4:21.834,-3,12,1020,27817,24771,26186,24451,23820,30155,30227,30187,30261
7:4:21.834,-3,12,1020,27817,24771,26186,24451,23820,30155,30227,30187,30261
7:4:21.834,-3,12,1020,27817,24770,26186,24451,23820,30154,30227,30187,30262
7:4:21.835,-3,12,1021,27817,24771,26186,24451,23820,30154,30227,30187,30262
7:4:21.835,-3,12,1021,0,0,0,0,0,0,0,0,0
7:4:21.835,-4,13,1021,27817,24770,26186,24451,23820,30154,30227,30187,30262
7:4:21.835,-4,12,1020,27817,24770,26186,24451,23820,30154,30227,30187,30262
7:4:21.835,-4,13,1020,27817,24770,26185,24451,23820,30153,30226,30187,30262
7:4:21.835,-5,13,1020,27817,24770,26185,24452,23820,30153,30226,30187,30262
7:4:21.835,-5,13,1020,27817,24769,26185,24451,23820,30152,30226,30187,30262
7:4:21.835,-5,12,1020,27817,24769,26185,24451,23819,30152,30226,30187,30261
